code;salinity_avg;salinity_max;salinity_min;temperature_avg;temperature_max;temperature_min;oxygen_avg;oxygen_max;oxygen_min;pprod_avg;pprod_max;pprod_min;ph_avg;ph_max;ph_min;alcalinity_avg;alcalinity_max;alcalinity_min;disolvC_avg;disolvC_max;disolvC_min;nitrate_avg;nitrate_max;nitrate_min;phosphate_avg;phosphate_max;phosphate_min;silicate_avg;silicate_max;silicate_min;ammonium_avg;ammonium_max;ammonium_min;zoopla_avg;zoopla_max;zoopla_min;chloroph_avg;chloroph_max;chloroph_min;phytopl_avg;phytopl_max;phytopl_min;northward_avg;northward_max;northward_min;easteward_avg;easteward_max;easteward_min
st.185;38.09678309;38.26784461;37.60868018;17.64946246;24.62193925;12.83227239;239.9390934;260.5371007;217.3161904;11.56121531;25.65298653;5.175088406;8.07212193;8.131577083;7.982957023;2.65876125;2.677108152;2.646952799;2.352628645;2.365433114;2.335616895;1.42252803;2.008801852;0.920513724;0.036730901;0.089611363;0.008447007;2.642706772;3.655191592;2.017566545;0.263036588;0.380039522;0.162376549;1.144058405;2.021617106;0.321546912;0.221798095;0.565932674;0.056231482;0.993507436;2.595297847;0.282294265;0.012436761;0.035409623;-0.011483622;-0.000294315;0.01748265;-0.022961149
st.186;38.09678309;38.26784461;37.60868018;17.64946246;24.62193925;12.83227239;239.9390934;260.5371007;217.3161904;11.56121531;25.65298653;5.175088406;8.07212193;8.131577083;7.982957023;2.65876125;2.677108152;2.646952799;2.352628645;2.365433114;2.335616895;1.42252803;2.008801852;0.920513724;0.036730901;0.089611363;0.008447007;2.642706772;3.655191592;2.017566545;0.263036588;0.380039522;0.162376549;1.144058405;2.021617106;0.321546912;0.221798095;0.565932674;0.056231482;0.993507436;2.595297847;0.282294265;0.012436761;0.035409623;-0.011483622;-0.000294315;0.01748265;-0.022961149
st.187;38.12770345;38.30709743;37.79209328;18.4314061;26.82566237;13.24327862;234.9850805;255.2470474;212.5387993;9.209133963;23.13473535;3.25835824;8.059724336;8.119171977;7.954924881;2.656589938;2.669244617;2.645196497;2.349972125;2.362172782;2.334727108;1.413551767;2.394481093;0.708780244;0.044924139;0.112344036;0.00805473;2.607306557;3.265933514;2.009476498;0.23651921;0.305921245;0.173626104;0.959542944;2.11009872;0.252333613;0.150269142;0.362965249;0.050505599;0.680796016;2.014792472;0.227618944;0.003768331;0.08310559;-0.044871083;0.016619318;0.153766389;-0.048870526
st.188;38.12770345;38.30709743;37.79209328;18.4314061;26.82566237;13.24327862;234.9850805;255.2470474;212.5387993;9.209133963;23.13473535;3.25835824;8.059724336;8.119171977;7.954924881;2.656589938;2.669244617;2.645196497;2.349972125;2.362172782;2.334727108;1.413551767;2.394481093;0.708780244;0.044924139;0.112344036;0.00805473;2.607306557;3.265933514;2.009476498;0.23651921;0.305921245;0.173626104;0.959542944;2.11009872;0.252333613;0.150269142;0.362965249;0.050505599;0.680796016;2.014792472;0.227618944;0.003768331;0.08310559;-0.044871083;0.016619318;0.153766389;-0.048870526
st.189;38.12770345;38.30709743;37.79209328;18.4314061;26.82566237;13.24327862;234.9850805;255.2470474;212.5387993;9.209133963;23.13473535;3.25835824;8.059724336;8.119171977;7.954924881;2.656589938;2.669244617;2.645196497;2.349972125;2.362172782;2.334727108;1.413551767;2.394481093;0.708780244;0.044924139;0.112344036;0.00805473;2.607306557;3.265933514;2.009476498;0.23651921;0.305921245;0.173626104;0.959542944;2.11009872;0.252333613;0.150269142;0.362965249;0.050505599;0.680796016;2.014792472;0.227618944;0.003768331;0.08310559;-0.044871083;0.016619318;0.153766389;-0.048870526
st.190;38.15123596;38.33166933;37.87744284;18.87510557;27.47823739;13.18590009;234.5198193;255.1494522;211.2203197;11.76872176;32.10598302;4.353441477;8.055704117;8.121400833;7.950800061;2.653534813;2.666192204;2.642943859;2.345400933;2.357715935;2.332387209;1.308686434;2.316625983;0.767801397;0.039701575;0.113199747;0.007884405;2.638689393;3.148723751;2.053703219;0.219006222;0.281496931;0.15223336;1.048149727;2.403754979;0.259557065;0.181280147;0.48618748;0.055596332;0.867181111;2.683903575;0.225739792;-0.004287801;0.059083081;-0.025939523;0.002081544;0.139440249;-0.048288835
st.191;38.15123596;38.33166933;37.87744284;18.87510557;27.47823739;13.18590009;234.5198193;255.1494522;211.2203197;11.76872176;32.10598302;4.353441477;8.055704117;8.121400833;7.950800061;2.653534813;2.666192204;2.642943859;2.345400933;2.357715935;2.332387209;1.308686434;2.316625983;0.767801397;0.039701575;0.113199747;0.007884405;2.638689393;3.148723751;2.053703219;0.219006222;0.281496931;0.15223336;1.048149727;2.403754979;0.259557065;0.181280147;0.48618748;0.055596332;0.867181111;2.683903575;0.225739792;-0.004287801;0.059083081;-0.025939523;0.002081544;0.139440249;-0.048288835
st.192;38.15123596;38.33166933;37.87744284;18.87510557;27.47823739;13.18590009;234.5198193;255.1494522;211.2203197;11.76872176;32.10598302;4.353441477;8.055704117;8.121400833;7.950800061;2.653534813;2.666192204;2.642943859;2.345400933;2.357715935;2.332387209;1.308686434;2.316625983;0.767801397;0.039701575;0.113199747;0.007884405;2.638689393;3.148723751;2.053703219;0.219006222;0.281496931;0.15223336;1.048149727;2.403754979;0.259557065;0.181280147;0.48618748;0.055596332;0.867181111;2.683903575;0.225739792;-0.004287801;0.059083081;-0.025939523;0.002081544;0.139440249;-0.048288835
st.193;38.10983784;38.33100933;37.74896028;18.95410046;26.90747028;13.10519748;237.6221487;259.177002;215.4522061;12.88936354;22.13942146;5.43614467;8.062386235;8.139049954;7.964500162;2.662740617;2.686614301;2.649888595;2.349412539;2.368287139;2.334187349;2.156852727;7.426892228;0.761611336;0.026140049;0.061116231;0.008272201;3.188497315;6.082590209;2.386800951;0.301269448;0.671549075;0.187729119;1.387805515;3.006073448;0.61065289;0.213931557;0.474832584;0.068412556;0.966366408;2.138308075;0.310888251;-0.00367143;0.029013528;-0.034260158;0.007531563;0.04686376;-0.039151636
st.194;38.10983784;38.33100933;37.74896028;18.95410046;26.90747028;13.10519748;237.6221487;259.177002;215.4522061;12.88936354;22.13942146;5.43614467;8.062386235;8.139049954;7.964500162;2.662740617;2.686614301;2.649888595;2.349412539;2.368287139;2.334187349;2.156852727;7.426892228;0.761611336;0.026140049;0.061116231;0.008272201;3.188497315;6.082590209;2.386800951;0.301269448;0.671549075;0.187729119;1.387805515;3.006073448;0.61065289;0.213931557;0.474832584;0.068412556;0.966366408;2.138308075;0.310888251;-0.00367143;0.029013528;-0.034260158;0.007531563;0.04686376;-0.039151636
st.195;38.10983784;38.33100933;37.74896028;18.95410046;26.90747028;13.10519748;237.6221487;259.177002;215.4522061;12.88936354;22.13942146;5.43614467;8.062386235;8.139049954;7.964500162;2.662740617;2.686614301;2.649888595;2.349412539;2.368287139;2.334187349;2.156852727;7.426892228;0.761611336;0.026140049;0.061116231;0.008272201;3.188497315;6.082590209;2.386800951;0.301269448;0.671549075;0.187729119;1.387805515;3.006073448;0.61065289;0.213931557;0.474832584;0.068412556;0.966366408;2.138308075;0.310888251;-0.00367143;0.029013528;-0.034260158;0.007531563;0.04686376;-0.039151636
st.196;37.98359146;38.39154339;37.50863171;19.39139446;27.69725275;12.59130621;235.4865003;256.8470535;211.3870468;10.74504937;20.31011701;4.827004075;8.060046551;8.15447104;7.948662698;2.653125924;2.662523836;2.638484746;2.33864286;2.353745431;2.316090465;0.862940191;1.599724099;0.324481737;0.009625722;0.022541817;0.006614503;2.602983781;3.183203459;2.181744009;0.195126462;0.324708324;0.111378562;1.354928373;2.226485282;0.729757719;0.194835487;0.473993316;0.048012741;0.758522341;1.559645727;0.196177613;0.008808304;0.065145721;-0.041100915;0.008573307;0.057169301;-0.033860493
st.197;37.98359146;38.39154339;37.50863171;19.39139446;27.69725275;12.59130621;235.4865003;256.8470535;211.3870468;10.74504937;20.31011701;4.827004075;8.060046551;8.15447104;7.948662698;2.653125924;2.662523836;2.638484746;2.33864286;2.353745431;2.316090465;0.862940191;1.599724099;0.324481737;0.009625722;0.022541817;0.006614503;2.602983781;3.183203459;2.181744009;0.195126462;0.324708324;0.111378562;1.354928373;2.226485282;0.729757719;0.194835487;0.473993316;0.048012741;0.758522341;1.559645727;0.196177613;0.008808304;0.065145721;-0.041100915;0.008573307;0.057169301;-0.033860493
st.198;37.98359146;38.39154339;37.50863171;19.39139446;27.69725275;12.59130621;235.4865003;256.8470535;211.3870468;10.74504937;20.31011701;4.827004075;8.060046551;8.15447104;7.948662698;2.653125924;2.662523836;2.638484746;2.33864286;2.353745431;2.316090465;0.862940191;1.599724099;0.324481737;0.009625722;0.022541817;0.006614503;2.602983781;3.183203459;2.181744009;0.195126462;0.324708324;0.111378562;1.354928373;2.226485282;0.729757719;0.194835487;0.473993316;0.048012741;0.758522341;1.559645727;0.196177613;0.008808304;0.065145721;-0.041100915;0.008573307;0.057169301;-0.033860493
st.199;37.9855285;38.41083188;37.39756266;19.65810051;27.81486109;13.31641123;234.3914931;254.9734768;212.072486;11.69639699;19.14997949;6.21038527;8.055213171;8.142652935;7.948392179;2.649710968;2.662943708;2.633798149;2.335956459;2.353141255;2.312495073;0.713920294;1.709908141;0.077881217;0.010421402;0.018738878;0.006693089;2.487716536;3.187000089;2.184539901;0.168168491;0.282316585;0.04940714;1.31404725;2.107015424;0.7568375;0.214158226;0.550733897;0.052111588;0.810594266;1.602543791;0.212601059;0.010972351;0.049233167;-0.039501331;0.007480433;0.041553041;-0.04109538
st.200;37.9855285;38.41083188;37.39756266;19.65810051;27.81486109;13.31641123;234.3914931;254.9734768;212.072486;11.69639699;19.14997949;6.21038527;8.055213171;8.142652935;7.948392179;2.649710968;2.662943708;2.633798149;2.335956459;2.353141255;2.312495073;0.713920294;1.709908141;0.077881217;0.010421402;0.018738878;0.006693089;2.487716536;3.187000089;2.184539901;0.168168491;0.282316585;0.04940714;1.31404725;2.107015424;0.7568375;0.214158226;0.550733897;0.052111588;0.810594266;1.602543791;0.212601059;0.010972351;0.049233167;-0.039501331;0.007480433;0.041553041;-0.04109538
