beach;latitude;longitude;Region;pie.y;pie.x
Cala_St._Andrea;41.0133221;8.2504211;Sardegna;40.988;6.812
Ossario_La_maddalena;41.0631711;8.2809981;Sardegna;41.361;6.987
Rena_majori;41.1727681;9.1704711;Sardegna;41.746;9.141
Isola_Gabbiani;41.1903571;9.3262441;Sardegna;41.942;9.503
Porto_Pozzo;41.1908291;9.2868481;Sardegna;41.491;9.811
Porto_Liscia;41.1926511;9.2922661;Sardegna;40.638;9.075
La_MaddalenaCarlotto;41.2303681;9.3778581;Sardegna;41.565;9.602
Mazara_del_Vallo;37.6627722;12.5489552;Sicilia;37.701;11.382
Lampedusa;35.5015131;12.5933311;Sicilia;34.841;13.425
Castellammare;38.0243642;12.8997852;Sicilia;38.548;12.239
Porto_Palo;37.5759982;12.9099862;Sicilia;36.677;13.326
Sciacca;37.5034292;13.0512952;Sicilia;37.161;12.173
Trappeto;38.0731982;13.0540112;Sicilia;38.805;13.074
Piane_Vecchie;38.0135392;13.9160792;Sicilia;38.497;14.041
S'agata_Militello;38.0708982;14.6236523;Sicilia;38.411;14.963
Playa_Catania;37.4822691;15.0863451;Sicilia;37.309;16.711
Eloro;36.8395041;15.1071271;Sicilia;35.987;15.601
Bocca_di_Magra;44.0442052;9.9856762;Toscana;45.391;9.119
Tirrenia;43.6233052;10.2869992;Toscana;44.926;10.448
Cecina;43.2885422;10.5033292;Toscana;45.414;11.733
Baratti;42.9903742;10.5051272;Toscana;43.596;10.778
Weltring;42.8105532;10.7603652;Toscana;44.949;13.074
Torre_Civette;42.8472982;10.7756142;Toscana;44.088;11.701
Bagno_Arcobaleno;42.7676052;10.8532762;Toscana;43.421;12.272
Castiglione;42.7631392;10.8732642;Toscana;44.081;14.799
Principina;42.6893162;10.9968632;Toscana;42.771;11.887
