code;marco.name;name;level;Country;Region;Mediterranean_Region;mean;sorting;skewness;kurtosis;comment.gran;latitude;longitude;Length;Orientation;Town;Harbour;richness
st.004;Jarzouna swash;Jarzouna;swash;TUN;North_Tunisia;Tunisian_plateau;495.7;1.66;0.147;0.859;ok;37.2885792;9.9044002;2;NE;YES;YES;3
st.005;Jarzouna mid;Jarzouna;mid;TUN;North_Tunisia;Tunisian_plateau;248.7;1.562;0.097;0.742;ok;37.2885793;9.9044003;2;NE;YES;YES;7
st.006;Jarzouna deep;Jarzouna;deep;TUN;North_Tunisia;Tunisian_plateau;243.6;1.545;0.096;0.744;ok;37.2885791;9.9044001;2;NE;YES;YES;7
st.007;La Marsa swash;La_Marsa;swash;TUN;North_Tunisia;Tunisian_plateau;855.6;2.031;0.116;1.022;ok;36.8856762;10.3343762;4;NE;YES;NO;4
st.008;La Marsa mid;La_Marsa;mid;TUN;North_Tunisia;Tunisian_plateau;512.6;1.725;0.214;0.962;ok;36.8856763;10.3343763;4;NE;YES;NO;6
st.009;La Marsa deep;La_Marsa;deep;TUN;North_Tunisia;Tunisian_plateau;255.5;1.576;-0.066;0.741;ok;36.8856761;10.3343761;4;NE;YES;NO;3
st.010;Gammarth swah;Gammarth;swash;TUN;North_Tunisia;Tunisian_plateau;341.3;1.495;-0.037;1.352;ok;36.9228042;10.2917852;20.5;NE;YES;NO;5
st.011;Gammarth mid;Gammarth;mid;TUN;North_Tunisia;Tunisian_plateau;253.1;1.563;0.023;0.738;ok;36.9228043;10.2917853;20.5;NE;YES;NO;3
st.012;Gammarth deep;Gammarth;deep;TUN;North_Tunisia;Tunisian_plateau;177;1.39;0.023;1.241;ok;36.9228041;10.2917851;20.5;NE;YES;NO;3
st.013;Le Kram swash;Le_Kram;swash;TUN;North_Tunisia;Tunisian_plateau;331.1;2.379;0.273;0.919;ok;36.8274812;10.3181112;1.5;SE;YES;YES;5
st.014;Le Kram mid;Le_Kram;mid;TUN;North_Tunisia;Tunisian_plateau;182.5;1.443;0.071;1.309;ok;36.8274813;10.3181113;1.5;SE;YES;YES;2
st.015;Le Kram deep;Le_Kram;deep;TUN;North_Tunisia;Tunisian_plateau;176.2;1.491;0.033;1.456;ok;36.8274811;10.3181111;1.5;SE;YES;YES;0
st.016;Mahdia swash;Mahdia;swash;TUN;North_Tunisia;Tunisian_plateau;783.4;2.122;0.032;1.189;ok;35.5226822;11.0421862;10.82;E;YES;NO;3
st.017;Mahdia mid;Mahdia;mid;TUN;North_Tunisia;Tunisian_plateau;336.5;1.748;0.21;0.934;ok;35.5226823;11.0421863;10.82;E;YES;NO;5
st.018;Mahdia deep;Mahdia;deep;TUN;North_Tunisia;Tunisian_plateau;206.4;1.144;0.088;1.112;ok;35.5226821;11.0421861;10.82;E;YES;NO;2
st.037;Mazara del Vallo swash;Mazara_del_Vallo;swash;ITA;Sicilia;Tunisian_plateau;447.1;2.287;-0.034;0.827;ok;37.6627722;12.5489552;2.9;S;YES;YES;4
st.038;Mazara del Vallo mid;Mazara_del_Vallo;mid;ITA;Sicilia;Tunisian_plateau;177.1;1.54;0.066;1.547;ok;37.6627733;12.5489553;2.9;S;YES;YES;1
st.039;Mazara del Vallo deep;Mazara_del_Vallo;deep;ITA;Sicilia;Tunisian_plateau;119.3;1.537;0.143;0.756;ok;37.6627711;12.5489551;2.9;S;YES;YES;3
st.040;Porto Palo swash;Porto_Palo;swash;ITA;Sicilia;Tunisian_plateau;281.5;1.535;-0.185;0.802;ok;37.5759982;12.9099862;2.1;S;YES;YES;6
st.041;Porto Palo mid;Porto_Palo;mid;ITA;Sicilia;Tunisian_plateau;214.3;1.494;0.262;0.969;ok;37.5759983;12.9099863;2.1;S;YES;YES;6
st.042;Porto Palo deep;Porto_Palo;deep;ITA;Sicilia;Tunisian_plateau;176.1;1.42;0.004;1.315;ok;37.5759981;12.9099861;2.1;S;YES;YES;4
st.043;Sciacca swash;Sciacca;swash;ITA;Sicilia;Tunisian_plateau;575.8;3.795;0.405;0.686;ok;37.5034292;13.0512952;1.4;S;YES;NO;2
st.044;Sciacca mid;Sciacca;mid;ITA;Sicilia;Tunisian_plateau;345.4;1.286;-0.094;0.909;ok;37.5034293;13.0512953;1.4;S;YES;NO;3
st.045;Sciacca deep;Sciacca;deep;ITA;Sicilia;Tunisian_plateau;179.3;1.332;0.132;1.014;ok;37.5034291;13.0512951;1.4;S;YES;NO;4
st.046;Castellammare swash;Castellammare;swash;ITA;Sicilia;Western Mediterranean;683.4;2.609;0.093;1.068;ok;38.0243642;12.8997852;9.8;N;YES;YES;1
st.047;Castellammare mid;Castellammare;mid;ITA;Sicilia;Western Mediterranean;316.1;2.169;0.346;1.168;ok;38.0243643;12.8997853;9.8;N;YES;YES;3
st.048;Castellammare deep;Castellammare;deep;ITA;Sicilia;Western Mediterranean;184.9;1.371;0.173;1.127;ok;38.0243641;12.8997851;9.8;N;YES;YES;6
st.049;Piane Vecchie swash;Piane_Vecchie;swash;ITA;Sicilia;Western Mediterranean;1837.2;2.656;-0.29;1.232;ok;38.0135392;13.9160792;11.2;N;YES;NO;7
st.050;Piane Vecchie mid;Piane_Vecchie;mid;ITA;Sicilia;Western Mediterranean;429.7;3.633;0.597;0.743;ok;38.0135393;13.9160793;11.2;N;YES;NO;3
st.051;Piane Vecchie deep;Piane_Vecchie;deep;ITA;Sicilia;Western Mediterranean;189.3;1.542;0.102;1.408;ok;38.0135391;13.9160791;11.2;N;YES;NO;1
st.052;Trappeto swash;Trappeto;swash;ITA;Sicilia;Western Mediterranean;296.1;1.509;-0.236;0.904;ok;38.0731982;13.0540112;2;N;YES;NO;2
st.053;Trappeto mid;Trappeto;mid;ITA;Sicilia;Western Mediterranean;440.6;1.871;0.472;1.897;ok;38.0731983;13.0540113;2;N;YES;NO;3
st.054;Trappeto deep;Trappeto;deep;ITA;Sicilia;Western Mediterranean;548.2;1.549;-0.137;0.766;ok;38.0731981;13.0540111;2;N;YES;NO;5
st.055;S'agata Militello swash;S'agata_Militello;swash;ITA;Sicilia;Western Mediterranean;992;3.389;0.095;0.747;ok;38.0708982;14.6236523;14.7;W;YES;YES;2
st.056;S'agata Militello mid;S'agata_Militello;mid;ITA;Sicilia;Western Mediterranean;238.4;2.043;0.451;1.522;ok;38.0708983;14.6236533;14.7;W;YES;YES;3
st.057;S'agata Militello deep;S'agata_Militello;deep;ITA;Sicilia;Western Mediterranean;229.4;1.632;0.117;0.856;ok;38.0708981;14.6236511;14.7;W;YES;YES;4
st.058;Isola di Dino swash;Isola_di_Dino;swash;ITA;Calabria;Western Mediterranean;918;2.465;0.223;0.687;ok;39.8712482;15.7876172;1.3;W;YES;YES;1
st.059;Isola di Dino mid;Isola_di_Dino;mid;ITA;Calabria;Western Mediterranean;4137.3;1.362;-1.928;0.132;ok;39.8712483;15.7876173;1.3;W;YES;YES;2
st.060;Isola di Dino deep;Isola_di_Dino;deep;ITA;Calabria;Western Mediterranean;2986.8;1.913;-0.117;1.416;ok;39.8712481;15.7876171;1.3;W;YES;YES;0
st.061;Diamante swash;Diamante;swash;ITA;Calabria;Western Mediterranean;1530.1;1.42;0.217;1.131;ok;39.6647422;15.8333652;1.2;W;YES;NO;3
st.062;Diamante mid;Diamante;mid;ITA;Calabria;Western Mediterranean;1638.9;1.712;0.2;1.469;ok;39.6647423;15.8333653;1.2;W;YES;NO;3
st.063;Diamante deep;Diamante;deep;ITA;Calabria;Western Mediterranean;269.7;1.674;0.007;0.881;ok;39.6647421;15.8333651;1.2;W;YES;NO;3
st.064;Castrocucco swash;Castrocucco;swash;ITA;Basilicata;Western Mediterranean;1265.7;1.676;-0.067;1.341;ok;39.9335722;15.7502362;7.6;W;YES;NO;2
st.065;Castrocucco mid;Castrocucco;mid;ITA;Basilicata;Western Mediterranean;1022.1;2.123;0.19;1.002;ok;39.9335733;15.7502363;7.6;W;YES;NO;1
st.066;Castrocucco deep;Castrocucco;deep;ITA;Basilicata;Western Mediterranean;441.5;1.747;0.026;0.935;ok;39.9335711;15.7502361;7.6;W;YES;NO;3
st.067;Amantea swash;Amantea;swash;ITA;Calabria;Western Mediterranean;1402.7;1.501;-0.006;1.418;ok;39.1003182;16.0787922;4.5;W;YES;NO;2
st.068;Amantea mid;Amantea;mid;ITA;Calabria;Western Mediterranean;246.4;1.621;0.108;0.785;ok;39.1003183;16.0787933;4.5;W;YES;NO;3
