name;lon;lat
L'Estartit;3.1986251;42.0477931
L'Estartit;3.1986251;42.0477931
La_Caletta;9.780628481;40.61345708
La_Caletta;9.780628481;40.61345708
La_Caletta;9.780628481;40.61345708
La_MaddalenaCarlotto;9.3778581;41.2303681
La_MaddalenaCarlotto;9.3778581;41.2303681
La_MaddalenaCarlotto;9.3778581;41.2303681
La_Mandriola;8.3982161;40.0326771
La_Mandriola;8.3982161;40.0326771
La_Mandriola;8.3982161;40.0326771
La_Marsa;10.34838823;36.90135563
La_Marsa;10.34838823;36.90135563
La_Marsa;10.34838823;36.90135563
La_Racou;3.083015727;42.55283725
La_Racou;3.083015727;42.55283725
La_Racou;3.083015727;42.55283725
Laigueglia;8.184884061;43.99539902
Laigueglia;8.184884061;43.99539902
Laigueglia;8.184884061;43.99539902
Lampedusa;12.59046239;35.4940162
Lampedusa;12.59046239;35.4940162
Lampedusa;12.59046239;35.4940162
Le_Kram;10.30111573;36.82534141
Le_Kram;10.30111573;36.82534141
Le_Kram;10.30111573;36.82534141
Les_Grottes;9.840133164;37.35378002
Les_Grottes;9.840133164;37.35378002
Les_Grottes;9.840133164;37.35378002
Lu_Bagnu;8.667129951;40.91014121
Lu_Bagnu;8.667129951;40.91014121
Lu_Bagnu;8.667129951;40.91014121
Mahdia;11.05874592;35.5329338
Mahdia;11.05874592;35.5329338
Mahdia;11.05874592;35.5329338
Marina_di_Latina;12.8263162;41.4148732
Marina_di_Latina;12.8263162;41.4148732
Marina_di_Latina;12.8263162;41.4148732
Marseille;5.2943681;43.3584731
Marseille;5.2943681;43.3584731
Marseille;5.2943681;43.3584731
Mazara_del_Vallo;12.5489552;37.6627722
Mazara_del_Vallo;12.5489552;37.6627722
Mazara_del_Vallo;12.5489552;37.6627722
Meta_Sorrento;14.4014391;40.65168175
Meta_Sorrento;14.4014391;40.65168175
Meta_Sorrento;14.4014391;40.65168175
Molara;9.7241151;40.8625641
Molara;9.7241151;40.8625641
Molara;9.7241151;40.8625641
Narbonne_Plage;3.1875711;43.1732491
Narbonne_Plage;3.1875711;43.1732491
Narbonne_Plage;3.1875711;43.1732491
Occelluccia;8.716841256;42.57068945
Occelluccia;8.716841256;42.57068945
